timestamp,checkpoint,modalities,fusion,test_miou,test_overall_acc,test_macro_acc,test_macro_f1
06162231,utae_s2_lr0.001_ep2_best.pt,S2,n/a,0.372253,0.74323,0.520417,0.472578
06162325,utae_s1a_lr0.001_ep32_best.pt,S1A,n/a,0.52126,0.786452,0.624453,0.654647
06162325,utae_s2_lr0.001_ep32_best.pt,S2,n/a,0.612036,0.824293,0.729046,0.742526
06162330,utae_s2s1a_early_lr0.001_ep32_best.pt,S2+S1A,early,0.62339,0.83065,0.731102,0.751968
06162356,utae_s2s1a_late_lr0.001_ep32_best.pt,S2+S1A,late,0.61823,0.828141,0.73126,0.747716
06171057,utae_s1a_lr0.001_ep32_best.pt,S1A,n/a,0.52127,0.786458,0.62447,0.654657
06171057,utae_s2_lr0.001_ep2_best.pt,S2,n/a,0.372253,0.743235,0.520411,0.472572
06171057,utae_s2_lr0.001_ep32_best.pt,S2,n/a,0.612001,0.824285,0.729037,0.742501
06171057,utae_s2s1a_early_lr0.001_ep32_best.pt,S2+S1A,early,0.623419,0.830665,0.731135,0.751993
06171057,utae_s2s1a_late_lr0.001_ep32_best.pt,S2+S1A,late,0.618169,0.828184,0.731286,0.747691
